code;country
AF;Афганистан
AL;Албания
AQ;Антарктида
DZ;Алжир
AS;Американское Самоа
AD;Андорра
AO;Ангола
AZ;Азербайджан
AR;Аргентина
AU;Австралия
AT;Австрия
BS;Багамы
BH;Бахрейн
BD;Бангладеш
AM;Армения
BB;Барбадос
BE;Бельгия
BM;Бермуды
BT;Бутан
BO;Боливия
BW;Ботсвана
BV;Остров Буве
BR;Бразилия
BZ;Белиз
SB;Соломоновы Острова
VG;Британские Виргинские острова
BN;Бруней
BG;Болгария
MM;Мьянма
BI;Бурунди
BY;Белоруссия
KH;Камбоджа
CM;Камерун
CA;Канада
KY;Каймановы острова
CF;ЦАР
TD;Чад
CL;Чили
CN;КНР
TW;Китайская Республика
CX;Остров Рождества
CC;Кокосовые острова
CO;Колумбия
KM;Коморы
YT;Майотта
CG;Республика Конго
CD;Демократическая Республика Конго
CK;Острова Кука
HR;Хорватия
CU;Куба
CY;Кипр
CZ;Чехия
BJ;Бенин
DK;Дания
DM;Доминика
DO;Доминиканская Республика
EC;Эквадор
SV;Сальвадор
GQ;Экваториальная Гвинея
ET;Эфиопия
ER;Эритрея
EE;Эстония
FO;Фарерские острова
FK;Фолклендские острова
FJ;Фиджи
FI;Финляндия
AX;Аландские острова
FR;Франция
GF;Французская Гвиана
PF;Французская Полинезия
DJ;Джибути
GA;Габон
GE;Грузия
GM;Гамбия
PS;Палестина
DE;Германия
GH;Гана
GI;Гибралтар
KI;Кирибати
GR;Греция
GL;Гренландия
GD;Гренада
GP;Гваделупа
GU;Гуам
GT;Гватемала
GN;Гвинея
GY;Гайана
HT;Гаити
VA;Ватикан
HN;Гондурас
HK;Гонконг
HU;Венгрия
IS;Исландия
IN;Индия
ID;Индонезия
IR;Иран
IQ;Ирак
IE;Ирландия
IL;Израиль
IT;Италия
JM;Ямайка
JP;Япония
KZ;Казахстан
JO;Иордания
KE;Кения
KP;КНДР
KR;Республика Корея
KW;Кувейт
KG;Киргизия
LA;Лаос
LB;Ливан
LS;Лесото
LV;Латвия
LR;Либерия
LY;Ливия
LI;Лихтенштейн
LT;Литва
LU;Люксембург
MO;Макао
MG;Мадагаскар
MW;Малави
MY;Малайзия
MV;Мальдивы
ML;Мали
MT;Мальта
MQ;Мартиника
MR;Мавритания
MU;Маврикий
MX;Мексика
MC;Монако
MN;Монголия
MD;Молдавия
ME;Черногория
MS;Монтсеррат
MA;Марокко
MZ;Мозамбик
OM;Оман
NA;Намибия
NR;Науру
NP;Непал
NL;Нидерланды
AN;Нидерландские Антильские острова
AW;Аруба
NC;Новая Каледония
VU;Вануату
NZ;Новая Зеландия
NI;Никарагуа
NE;Нигер
NG;Нигерия
NU;Ниуэ
NF;Остров Норфолк
NO;Норвегия
MP;Северные Марианские острова
FM;Микронезия
MH;Маршалловы Острова
PW;Палау
PK;Пакистан
PA;Панама
PY;Парагвай
PE;Перу
PH;Филиппины
PN;Острова Питкэрн
PL;Польша
PT;Португалия
TL;Восточный Тимор
QA;Катар
RE;Реюньон
RO;Румыния
RU;Россия
RW;Руанда
SH;Остров Святой Елены
AI;Ангилья
SA;Саудовская Аравия
SN;Сенегал
RS;Сербия
SC;Сейшельские Острова
SG;Сингапур
SK;Словакия
VN;Вьетнам
SI;Словения
SO;Сомали
ZA;ЮАР
ZW;Зимбабве
ES;Испания
EH;Западная Сахара
SD;Судан
SR;Суринам
SZ;Свазиленд
SE;Швеция
CH;Швейцария
SY;Сирия
TJ;Таджикистан
TH;Таиланд
TG;Того
TK;Токелау
TO;Тонга
AE;ОАЭ
TN;Тунис
TR;Турция
TM;Туркмения
TV;Тувалу
UG;Уганда
UA;Украина
MK;Республика Македония
SU;СССР
EG;Египет
GB;Великобритания
TZ;Танзания
US;США
VI;Американские Виргинские острова
BF;Буркина Фасо
UY;Уругвай
UZ;Узбекистан
VE;Венесуэла
WS;Самоа
YE;Йемен
ZM;Замбия
